MATH,1010,   85138   85139   85140   85141   85142   85143   85144   85145   85389   85390   85391   85299   85416   85417   85418   85419   85207   86274   85392   85808   86270   85668   85669   85670,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
MATH,1020,   85150   85151   85152   85153,5 6 7 8
MATH,1020,   85146   85147   85148   85149,1 2 3 4
MATH,1020,    85296  85297   85393   85300   85208   85209   85211   85210,9 10 11 12 13 14 15 16
MATH,1500,   86273   85249   85250   85251,10 11 12 13
MATH,2010,   85157   85158   85159   85160   85483   85481   87559   85482   87177   87178   87179   87180   87764   87765   87949   87950,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
MATH,2400,   85394   85395   85715   86271,13 14 15 16
MATH,2400,   85712   85161   85162   85163   85164   85165   85351   85166,1 2 3 4 5 6 7 8
MATH,2400,   85531   85532   85533   85534,17 18 19 20
MATH,2400,   85167   85168   85169   85170,9 10 11 12
MATH,2800,   85802   85803   85804   86272,1 2 3 4
MATH,4090,86578,1
MATH,4100,85171,1
MATH,4200,85172,1
MATH,4400,85182,1
MATH,4700,85183,1
MATH,6220,85175,1
MATH,6300,87923,1
MATH,6500,85176,1
MATH,6600,85177,1
MATH,6790,87954,1
MATH,6840,87953,1
MGMT,2100,85424,3
MGMT,6040,   86286   87551,1 2
MTLE,4030,85727,1
MTLE,4100,85005,1
MTLE,4200,85006,1
MTLE,4400,85007,1
MTLE,4420,88030,1
MTLE,6030,86556,1
MTLE,6120,87647,1
MTLE,6250,86939,1
MTLE,4050/6963,   85376   87258,1
MTLE,4960/6960,   87254   87255,1
MTLE,4961/6961,   87040   87041,1
PHIL,2140,86955,1
PHYS,1100,   85072   85073   85074   86940   85075   85076   85298   85301   86317   86318,ALL
PHYS,1150,   86944   86945,ALL
PHYS,1200,   85077   85480   85078   85079   85080   88059   85081   85082,ALL
PHYS,2110,87270,1
PHYS,2510,85086,1
PHYS,4330,88113,1
PHYS,4620,88060,1
PHYS,6210,86567,1
PSYC,1200,   85641   85132,ALL
PSYC,4410,87176,1
PSYC,4500,85776,1
